iter	Passed	Remaining
0	81	81738
1	137	68676
2	226	75137
3	288	71890
4	361	71999
5	510	84577
6	654	92908
7	734	91026
8	827	91138
9	873	86499
10	1143	102828
11	1406	115800
12	1582	120164
13	1787	125860
14	1893	124321
15	2006	123404
16	2175	125820
17	2276	124181
18	2388	123316
19	2455	120309
20	2514	117209
21	2584	114890
22	2634	111926
23	2711	110254
24	2803	109352
25	2882	107973
26	2951	106353
27	3006	104372
28	3120	104478
29	3313	107140
30	3427	107128
31	3516	106365
32	3586	105084
33	3643	103506
34	3710	102292
35	3776	101119
36	3843	100036
37	3906	98894
38	3976	97974
39	4040	96964
40	4084	95527
41	4127	94144
42	4170	92810
43	4215	91583
44	4270	90636
45	4319	89580
46	4369	88607
47	4423	87738
48	4485	87055
49	4544	86339
50	4602	85650
51	4694	85581
52	4758	85024
53	4814	84334
54	4866	83617
55	4927	83060
56	4979	82375
57	5043	81913
58	5108	81482
59	5175	81080
60	5231	80527
61	5283	79935
62	5332	79313
63	5393	78884
64	5446	78343
65	5493	77743
66	5552	77316
67	5607	76849
68	5668	76480
69	5764	76586
70	5815	76087
71	5864	75582
72	5918	75159
73	5979	74824
74	6044	74552
75	6098	74147
76	6149	73713
77	6199	73283
78	6255	72926
79	6378	73357
80	6509	73853
81	6651	74460
82	6754	74623
83	6881	75036
84	6982	75167
85	7031	74729
86	7085	74357
87	7137	73972
88	7189	73591
89	7242	73229
90	7298	72899
91	7348	72528
92	7398	72155
93	7456	71868
94	7481	71267
95	7543	71034
96	7601	70760
97	7690	70782
98	7744	70486
99	7795	70159
100	7844	69824
101	7890	69468
102	7936	69119
103	7982	68769
104	8024	68401
105	8073	68091
106	8121	67782
107	8171	67492
108	8223	67217
109	8272	66933
110	8323	66661
111	8374	66397
112	8423	66120
113	8471	65838
114	8518	65558
115	8564	65264
116	8611	64987
117	8662	64745
118	8708	64472
119	8751	64179
120	8803	63954
121	8866	63809
122	8920	63606
123	8982	63456
124	9032	63224
125	9081	62990
126	9138	62819
127	9187	62591
128	9243	62411
129	9298	62228
130	9352	62038
131	9410	61883
132	9477	61780
133	9526	61565
134	9568	61306
135	9612	61070
136	9660	60856
137	9705	60623
138	9746	60373
139	9789	60135
